country,countryLabel,count
http://www.wikidata.org/entity/Q30,United States,392
http://www.wikidata.org/entity/Q145,United Kingdom,103
http://www.wikidata.org/entity/Q408,Australia,31
http://www.wikidata.org/entity/Q183,Germany,3
http://www.wikidata.org/entity/Q55,Netherlands,3
http://www.wikidata.org/entity/Q17,Japan,2
http://www.wikidata.org/entity/Q31,Belgium,2
http://www.wikidata.org/entity/Q1030,Namibia,1
http://www.wikidata.org/entity/Q27,Ireland,1
http://www.wikidata.org/entity/Q39,Switzerland,1
