country,countryLabel,count
http://www.wikidata.org/entity/Q183,Germany,91
http://www.wikidata.org/entity/Q33,Finland,34
http://www.wikidata.org/entity/Q213,Czech Republic,25
http://www.wikidata.org/entity/Q142,France,17
http://www.wikidata.org/entity/Q55,Netherlands,6
http://www.wikidata.org/entity/Q794,Iran,6
http://www.wikidata.org/entity/Q36,Poland,5
http://www.wikidata.org/entity/Q35,Denmark,3
http://www.wikidata.org/entity/Q30,United States,3
http://www.wikidata.org/entity/Q34,Sweden,3
http://www.wikidata.org/entity/Q28,Hungary,2
http://www.wikidata.org/entity/Q40,Austria,2
http://www.wikidata.org/entity/Q17,Japan,2
http://www.wikidata.org/entity/Q191,Estonia,2
http://www.wikidata.org/entity/Q16957,German Democratic Republic,2
http://www.wikidata.org/entity/Q32,Luxembourg,1
http://www.wikidata.org/entity/Q159,Russia,1
http://www.wikidata.org/entity/Q39,Switzerland,1
http://www.wikidata.org/entity/Q145,United Kingdom,1
