jao_substation,matched_osm_name,osm_id,latitude,longitude
HEISDORF ,Heisdorf,1042974725,49.6685109,6.1399073
ROOST,Roost,91823933,49.7765225,6.0833606
ROOST ,Roost,91823933,49.7765225,6.0833606
SCHIFFLANGE ,Schifflange,33814365,49.5210148,6.0187757
Bericevo,RTP Beričevo,138362793,46.0926512,14.6136834
Cirkovce,RTP Cirkovce,113568896,46.3981863,15.7336888
Divaca,RTP Divača,96747435,45.6912879,13.9688958
Maribor,RTP Maribor,113578863,46.5219542,15.695756
Okroglo,RTP Okroglo,490359963,46.2525631,14.3260098
Podlog,RTP Podlog,119244495,46.2760127,15.1297018
Klece,RTP Kleče,167068843,46.1029293,14.4845594
Trbovlje,RTP Trbovlje,286599451,46.1251779,15.0554274
ACHENE,Achêne,88373135,50.260609,5.0556438
ANDRE DUMONT,André Dumont,457635067,50.9393558,5.4862338
AUBANGE,Linalux Aubange,121085952,49.5664727,5.7958024
AVELGEM,Avelgem,87529551,50.782572,3.4692725
AWIRS,Awirs,24552827,50.5844932,5.4146773
BASTOGNE,Bastogne,1062894258,49.9997824,5.6869848
BRUEGEL,380kV Bruegel,23175771,50.8809829,4.231692
BRUME,Brume,88799384,50.3755854,5.8433896
CHAMPION,Henri Champion,65131674,47.981483,0.2171691
COURCELLES,Courcelles,87772593,50.4942834,4.3482122
DOEL,Doel 380,23136868,51.3227519,4.2547769
DROGENBOS,Elia Drogenbos,23176013,50.8037361,4.3011954
EEKLO NOORD,380/150kV Eeklo Noord,87779917,51.2066629,3.5374044
GEZELLE,Gezelle,432647374,51.2636184,3.2010099
GRAMME,Poste Elia Gramme,87772591,50.5122899,5.2865598
HEINSCH,Poste 220/70/15 kV de Heinsch,33814632,49.6931799,5.7554708
HORTA,Horta,495688597,51.11471,3.6045711
JUPILLE,220 kV Jupille,91142310,50.6444986,5.6195022
KALLO,Kallo,23136911,51.253277,4.288856
LA TROQUE,La Troque,204940263,50.6027452,5.496379
LE VAL,Le Val,103041283,50.6042171,5.492724
LILLO,Elia Lillo,19783816,51.3012492,4.3070512
LINT,Lint,16584741,51.1175884,4.5086912
LIXHE,380 kV Lixhe,23141556,50.754424,5.6680201
MASSENHOVEN,Massenhoven,32002039,51.1958091,4.6293494
MEERHOUT,Meerhout,87807194,51.1073645,5.0635559
MERCATOR,Mercator,23151789,51.1541595,4.2467507
RIMIERE,Rimière,1245588489,50.539608,5.4690531
ROMSEE,220 kV Romsée,91752661,50.6140012,5.6603921
ROUVROY,Rouvroy,121085955,49.5494275,5.5065376
SART-TILMAN,Sart-Tilman,94155586,50.5900991,5.559852
STEVIN,Stevin,392090271,51.3259811,3.183771
VAN EYCK,Van Eyck,124703985,51.1210405,5.7742234
Brinje,RP Brinje,273326173,44.993015,15.1052736
Konjsko,TS Konjsko,43337263,43.6004928,16.5008628
Melina,TS Melina,89817617,45.3162884,14.5642126
Mraclin,TS Mraclin,89819945,45.6674249,16.1119651
Pehlin,TS Pehlin,96722667,45.3548062,14.4087969
Senj,TS HE Senj,173272584,44.9427094,14.9251041
TE Sisak,TS TE Sisak,170366194,45.4524778,16.4137681
Tumbri,TS Tumbri,89818719,45.6815459,15.8693977
Zakucac,TS HE Zakučac,59683455,43.4550923,16.7019407
Zerjavinec,TS Žerjavinec,89820062,45.8760194,16.1628413
Albertirsa,Albertirsa alállomás,142109093,47.2244508,19.5805439
Bekescsaba,Békéscsaba alállomás,113717515,46.6873806,21.0480128
Bicske Del,Bicske Dél alállomás,254847446,47.4730352,18.6530599
Buj,"Stacja elektroenergetyczna ""Bujaków"" 220/30/15/6kV",44389929,49.8424073,19.2127403
Detk,Detk alállomás,251991299,47.7736731,20.1075051
Dunamenti,Dunamenti alállomás,100804921,47.3270025,18.9157711
Felsozsolca,Felsőzsolca alállomás,155803703,48.1207876,20.8532986
God,Godenau,30109913,52.0008345,9.7973087
Gonyu,Gönyű alállomás,142106943,47.7344261,17.804842
Gyor,Győr OVIT alállomás,124244078,47.6731558,17.6935935
Heviz,Hévíz alállomás,96705565,46.7910662,17.1701642
Kisvarda,Kisvárda OVIT alállomás,289912792,48.2020082,22.0748556
Liter,Litér alállomás,65034002,47.1069262,18.0176782
Martonvasar,Martonvásár alállomás,100804905,47.3379236,18.8331751
Paks,Paks alállomás,100788162,46.570137,18.8583122
Sajoszoged,Sajószöged alállomás,155227474,47.9429011,20.9699182
Szabolcsbaka,Szabolcsbáka alállomás,859708761,48.1462368,22.167478
Szolnok,Szolnok OVIT alállomás,252028146,47.2054064,20.1480515
Ocsa,Ócsa alállomás,100844170,47.3202434,19.2065195
Kerepes,Kerepes alállomás,464834617,47.5362989,19.3276269
ABRAMOWICE,"Stacja elektroenergetyczna ""Abramowice"" 220/110 kV",170249563,51.1963259,22.5840814
ADAMOW,Stacja elektroenergetyczna Adamów 220/110 kV,171383831,52.012199,18.5418181
BIERUN,"Stacja elektroenergetyczna 220/110kV ""Bieruń""",255232597,50.0860195,19.16946
BLACHOWNIA,"Stacja elektroenergetyczna ""Blachownia"" 220/110kV",185454704,50.359139,18.2936222
BOGUSZOW,Stacja elektroenergetyczna 220/110/20kV „Boguszów”,177749653,50.7526422,16.1910248
BUJAKOW,"Stacja elektroenergetyczna ""Bujaków"" 220/30/15/6kV",44389929,49.8424073,19.2127403
BYCZYNA,"Stacja elektroenergetyczna ""Byczyna"" 400kV",133537926,50.1638461,19.2913686
BYDGOSZCZ ZACHOD,"Stacja elektroenergetyczna ""Bydgoszcz Zachód"" 400/110 kV",255293400,53.088742,17.878229
CHELM,Chelmsford East Substation,100820853,51.7160113,0.5185068
CHMIELOW,"Stacja elektroenergetyczna ""Chmielów"" 220/110 kV",191352746,50.5041698,21.6715438
CIEPLICE,"Stacja elektroenergetyczna ""Cieplice"" 220/110 kV",178756295,50.887249,15.6847381
CZARNA,Stacja elektroenergetyczna 110/15kV Czarna Woda,148592465,53.8504826,18.0891222
CZECZOT,Stacja elektroenergetyczna 220/6kV „Czeczott”,291375946,50.0181723,19.1048348
CZERWONAK,"Stacja elektroenergetyczna ""Czerwonak"" 220/110 kV",293484894,52.4742909,16.9773914
DOBRZEN,"Stacja elektroenergetyczna ""Dobrzeń"" 400/110 kV",255277953,50.746549,17.8736775
DUNOWO,"Stacja elektroenergetyczna ""Dunowo"" 400/220/110 kV",175406958,54.1265422,16.0960123
ELK,Umspannwerk Timelkam,33840061,48.0107506,13.5881327
GDANSK,"Stacja elektroenergetyczna ""Gdańsk Błonia"" 400/110 kV",112614319,54.3386795,18.7096323
GDANSK PRZYJAZN,Stacja elektroenergetyczna 400kV Gdańsk Przyjaźń,385118244,54.2816724,18.3815079
GLINKI,"Stacja elektroenergetyczna ""Glinki"" 220/110 kV",40062974,53.4998451,14.581061
GORZOW,"Stacja elektroenergetyczna ""Gorzów"" 220/110 kV",193956108,52.7477859,15.2690033
GROSZOWICE,"Stacja Energetyczna ""Groszowice"" 220/110 kV",336990960,50.6134579,17.9714097
GRUDZIADZ,"Stacja elektroenergetyczna ""Grudziądz - Węgrowo"" 400/220/110 kV",46092396,53.4469055,18.8045045
HALEMBA,"Stacja elektroenergetyczna ""Halemba"" 220/110kV",183259405,50.2309106,18.8522643
HUTA CZESTOCHOWA,"Stacja elektroenergetyczna ""Huta Częstochowa"" 220/110 kV",224727316,50.7760148,19.1682976
JAMKI,"Stacja elektroenergetyczna 220/110kV ""Jamki""",40946790,50.3257818,19.2696616
JANOW,Stacja elektroenergetyczna 220/110/15kV „Janów”,35366436,51.7576621,19.5614262
JASINIEC,"Stacja elektroenergetyczna ""Jasiniec"" 220/110 kV",46235456,53.1354761,18.1076879
JOACHIMOW,Stacja elektroenergetyczna „Joachimów” 400/220 kV,241842600,50.759963,19.3166857
KATOWICE,"Stacja elektroenergetyczna 220/110/6kV ""Katowice""",29139402,50.2644609,19.054424
KEDZIERZYN,"Stacja elektroenergetyczna ""Kędzierzyn"" 220/110kV",185459155,50.3170597,18.2541099
KIELCE,"Stacja elektroenergetyczna 400/220kV ""Kielce""",199098050,50.8997454,20.4151194
KIELCE PIASKI,Stacja elektroenergetyczna „Kielce Piaski” 220/110/30/15kV,228154083,50.904656,20.6380791
KLIKOWA,"Stacja elektroenergetyczna 220/110kV ""Klikowa""",191035265,50.0638474,20.945116
KOKSOCHEMIA,"Stacja elektroenergetyczna ""Koksochemia"" 220kV",66051759,50.3386737,19.3446008
KONIN,"Stacja elektroenergetyczna 220/110kV ""Elektrownia Konin""",216975352,52.2867828,18.2702027
KOPANINA,"Stacja elektroenergetyczna 220/110kV ""Kopanina""",183945016,50.1305903,18.8495778
KOZIENICE,"Stacja elektroenergetyczna 110/15kV ""Kozienice Miasto""",170209494,51.5745367,21.5400359
KRAJNIK,"Stacja elektroenergetyczna ""Krajnik"" 400/220 kV",39428977,53.196395,14.4757377
KROMOLICE,Stacja elektroenergetyczna Kromolice 400/110kV,254938713,52.2811519,17.1689974
LESZNO,"Stacja elektroenergetyczna ""Leszno Gronowo"" 220/110 kV",148197330,51.8762644,16.5901011
LUBOCZA,"Stacja elektroenergetyczna 220/110 kV & GPZ 110/15 kV ""Lubocza""",87667718,50.096005,20.0990642
MOKRE,Stacja elektroenergetyczna „Mokre” 220/110 kV,170368942,50.6984525,23.1479365
MORY,"Stacja elektroenergetyczna ""Mory"" 220/110kV",29115701,52.2144342,20.8776054
MORZYCZYN,"Stacja elektroenergetyczna ""Morzyczyn"" 400/220/110 kV",32943179,53.3547256,14.8966848
MOSCISKA,"Stacja elektroenergetyczna ""Mościska"" 400/110 kV",91384044,52.2906372,20.8812545
MOSZCZENICA,Stacja elektroenergetyczna 220/110kV „Moszczenica”,184899160,49.9412056,18.5634104
OLSZTYN MATKI,Stacja elektroenergetyczna „Olsztyn Mątki” 400/220/110 kV,101914781,53.8275049,20.3479067
OSTROWIEC,"Stacja elektroenergetyczna ""Ostrowiec"" 400/110 kV",254235846,50.9386971,21.4510691
PABIANICE,"Stacja elektroenergetyczna ""Pabianice"" 220/110 kV",102165724,51.6774877,19.3676793
PASIKUROWICE,Stacja elektroenergetyczna „Pasikurowice” 400/110 kV,79033485,51.2137949,17.1192121
PATNOW,"Stacja elektroenergetyczna ""Pątnów"" 400/220/110 kV",255284259,52.3053961,18.2354055
PELPLIN,"Stacja elektroenergetyczna 110/20kV ""FW Pelplin I""",361007031,53.9010346,18.7376353
PIASECZNO,Stacja elektroenergetyczna „Piaseczno” 220/110 kV,29098336,52.0912305,21.0355318
PIOTRKOW,Stacja elektroenergetyczna „Piotrków” 220/110 kV,170316833,51.4282218,19.6833399
PLEWISKA,"Stacja elektroenergetyczna ""Plewiska"" 400/220/110 kV",32036484,52.368644,16.7790705
PODOLSZYCE,"Stacja elektroenergetyczna ""Podolszyce"" 220/110kV",171992870,52.536581,19.7357018
POLKOWICE,"Stacja elektroenergetyczna 110kV ""Polkowice Zachodnie""",180538378,51.5089435,16.0181202
POREBA,Stacja elektroenergetyczna 220/110kV „Poręba”,135598292,50.0007049,19.2733815
PRAGA,"Stacja elektroenergetyczna 220/110kV ""Praga""",25898810,52.2926954,20.9952081
ROGOWIEC,"Stacja elektroenergetyczna ""Rogowiec Stary"" 110/15kV",267043212,51.2675649,19.2996524
ROKITNICA,Stacja elektroenergetyczna 400/110kV „Rokitnica”,293489607,50.36547,18.7719712
RZESZOW,"Stacja elektroenergetyczna ""Rzeszów Staromieście"" 110/15/6kV",149935065,50.0588466,22.0123665
SIEDLCE UJRZANOW,"Stacja elektroenergetyczna 400/110kV ""Siedlce Ujrzanów""",255972397,52.1296844,22.344024
SIERSZA,Dom Kultury Siersza,1025803722,50.1946563,19.4320361
SKAWINA,"Stacja elektroenergetyczna 400/220/110 kV ""Skawina""",189501431,49.97499,19.805841
SOCHACZEW,"Stacja elektroenergetyczna ""Sochaczew"" 220/110kV",145037309,52.2326682,20.2588527
SWIEBODZICE,Stacja elektroenergetyczna 220/110kV „Świebodzice”,179138441,50.8542014,16.3520483
TARNOW,"Podstacja trakcyjna ""Tarnów""",116814228,50.0040508,20.9962201
