NE_name,EIC_Code,TSO,Substation_1,Substation_2,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment,Substation_1_lat,Substation_1_lon,Substation_1_id,Substation_2_lat,Substation_2_lon,Substation_2_id
Bentwisch - Güstrow 544,11TD8L544------C,50HERTZ,Bentwisch,Güstrow,380,,,,,,,2720, ,,0.91,9,157.331,35.56,,54.0999746,12.2136397,32063539.0,53.8164841,12.1881266,32062544.0
Bertikow - Pasewalk 305,11TD8L305------N,50HERTZ,Bertikow,Pasewalk,220,,,,,,,900, ,,2.29,8.78,109.987,29.47,,53.2525038,13.9572215,30039908.0,53.5084632,14.0341826,39437430.0
Charlottenburg - Mitte 906,11TD8L906------T,50HERTZ,Charlottenburg,Mitte,380,,,,,,,800, ,,0.12,1.23,475.072,5.42,,52.5220201,13.3155265,46615737.0,53.5389732,9.6346921,23485187.0
Dresden/Süd - Freiberg/Nord 592,11TD8L592------K,50HERTZ,Dresden/Süd,Freiberg/Nord,380,,,,,,,2520, ,,1.17,12.37,212.969,47.77,,,,,,,
Dresden/Süd - Röhrsdorf 591,11TD8L591------S,50HERTZ,Dresden/Süd,Röhrsdorf,380,,,,,,,2520, ,,2.23,22.06,380.604,85.37,,,,,50.8586618,12.8151186,23117075.0
Eisenach - Vieselbach 454,11TD8L454------D,50HERTZ,Eisenach,Vieselbach,380,,,,,,,2520, ,,1.89,18.95,306.525,72.29,,50.9641736,10.3719972,29487085.0,50.9992218,11.1197853,34105558.0
Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 547-3,11TD8L547------P,50HERTZ,Eisenhüttenstadt (Abzweig),Eisenhüttenstadt,380,,,,,,,1200, ,,0.5,1.82,34.62,7.53,,,,,52.1747958,14.604034,52983550.0
Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 548-3,11T0000000000023,50HERTZ,Eisenhüttenstadt (Abzweig),Eisenhüttenstadt,380,,,,,,,1200, ,,0.5,1.82,34.62,7.53,,,,,52.1747958,14.604034,52983550.0
Eisenhüttenstadt (Abzweig) - Heinersdorf 548-4,11T0000000000023,50HERTZ,Eisenhüttenstadt (Abzweig),Heinersdorf,380,,,,,,,2280, ,,1.67,11.33,200.748,45.25,,,,,52.5629929,13.4434159,47493333.0
Eisenhüttenstadt (Abzweig) - Neuenhagen 547-1,11TD8L547------P,50HERTZ,Eisenhüttenstadt (Abzweig),Neuenhagen,380,,,,,,,2280, ,,3.22,21.79,404.009,87.01,,,,,52.5391386,13.7097134,137197826.0
Eisenhüttenstadt (Abzweig) - Preilack 547-2,11TD8L547------P,50HERTZ,Eisenhüttenstadt (Abzweig),Preilack,380,,,,,,,2280, ,,1.42,9.63,170.871,38.48,,,,,51.888923,14.4282757,941198517.0
