NE_name,EIC_Code,TSO,Substation_1,Substation_2,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment,Substation_1_lat,Substation_1_lon,Substation_1_id,Substation_2_lat,Substation_2_lon,Substation_2_id
T JOA-LAG-LAGISZA,19T110000006786R,PSE,T JOA-LAG,LAGISZA,220,1120,1075,1030,1075,,,1014.1509433962264,750,1100,2.5991,19.912,120.8264,46.1,,,,,,,
T JOA-LAG-JOACHIMOW,19T110000006787P,PSE,T JOA-LAG,JOACHIMOW,220,1120,1075,1030,1075,,,1014.1509433962264,580,880,0.36,2.5797,17.5,6.3,,,,,50.759963,19.3166857,241842600.0
TARNOW-KROSNO ISKRZYNIA,19T000000000296P,PSE,TARNOW,KROSNO ISKRZYNIA,380,2000,2000,2000,2000,,,1886.7924528301885,1920,2000,2.304,23.136,320.0813,82,,50.0040508,20.9962201,116814228.0,49.6882346,21.852609,166838338.0
TARNOW-SKAWINA,19T000000006399M,PSE,TARNOW,SKAWINA,380,1660,1510,1360,1510,,,1424.5283018867924,950,1960,2.784,32.144,350.2812,99.2,,50.0040508,20.9962201,116814228.0,49.97499,19.805841,189501431.0
TORUN ELANA-GRUDZIADZ,19T1100000067802,PSE,TORUN ELANA,GRUDZIADZ,220,720,720,679.6,720,,,679.2452830188679,475,720,2.691,20.318,127.2314,47.8,,,,,53.4469055,18.8045045,46092396.0
TREBACZEW-DOBRZEN,19T110000006442M,PSE,TREBACZEW,DOBRZEN,380,1410,1285,1160,1285,,,1212.264150943396,810,1660,5.68,57.872,599.3375,175.1,,51.1428912,18.9074276,171917072.0,50.746549,17.8736775,255277953.0
TREBACZEW-JOACHIMOW,19T110000006443K,PSE,TREBACZEW,JOACHIMOW,380,1410,1285,1160,1285,,,1212.264150943396,810,1660,1.936,19.84,205.5188,59.7,,51.1428912,18.9074276,171917072.0,50.759963,19.3166857,241842600.0
TUCZNAWA-ROGOWIEC,19T0000000064292,PSE,TUCZNAWA,ROGOWIEC,380,2000,2000,1900.7,2000,,,1886.7924528301885,1610,2000,3.744,43.264,468.2375,133.1,,50.3767917,19.3316643,40946784.0,51.2675649,19.2996524,267043212.0
WIELOPOLE-KEDZIERZYN,19T000000000469K,PSE,WIELOPOLE,KEDZIERZYN,220,1060,1005,950,1005,,,948.1132075471697,805,1170,2.3619,16.272,123.1612,41.9,,50.1226494,18.5409832,139452056.0,50.3170597,18.2541099,185459155.0
WIELOPOLE-JOACHIMOW,19T000000006388R,PSE,WIELOPOLE,JOACHIMOW,380,2000,2000,1900.7,2000,,,1886.7924528301885,1610,2000,3.856,44.512,481.7,137,,50.1226494,18.5409832,139452056.0,50.759963,19.3166857,241842600.0
WIELOPOLE-DOBRZEN,19T0000000064284,PSE,WIELOPOLE,DOBRZEN,380,2000,2000,1900.7,2000,,,1886.7924528301885,1610,2000,3.408,38.912,423.4,120.9,,50.1226494,18.5409832,139452056.0,50.746549,17.8736775,255277953.0
WIELOPOLE-ROKITNICA,19T000000006407C,PSE,WIELOPOLE,ROKITNICA,380,2000,2000,1900.7,2000,,,1886.7924528301885,1610,2000,1.472,16.992,183.7812,52.3,,50.1226494,18.5409832,139452056.0,50.36547,18.7719712,293489607.0
WLOCLAWEK AZOTY-OLSZTYN,19T110000006776U,PSE,WLOCLAWEK AZOTY,OLSZTYN,220,705,642.5,580,642.5,,,606.132075471698,405,720,13.112,77.401,539.7727,181.9,,,,,53.7629959,20.4856691,101914720.0
WLOCLAWEK AZOTY-TORUN ELANA,19T110000006779O,PSE,WLOCLAWEK AZOTY,TORUN ELANA,220,830,755,679.6,755,,,712.2641509433962,475,900,3.5719,26.552,192.5207,63.5,,,,,,,
WRZOSOWA-T JOA-LAG,19T110000006785T,PSE,WRZOSOWA,T JOA-LAG,220,1190,1140,1090,1140,,,1075.4716981132076,750,1100,0.3194,2.4297,15.2893,5.7,,50.7539885,19.1664693,217899005.0,,,
ZARNOWIEC-GDANSK,19T0000000013317,PSE,ZARNOWIEC,GDANSK,380,1200,1200,1200,1200,,,1132.0754716981132,950,1200,1.52,17.584,190.4375,54.1,,54.7187833,18.1094152,86494356.0,54.3386795,18.7096323,112614319.0
ZARNOWIEC-GDANSK PRZYJAZN,19T110000006431R,PSE,ZARNOWIEC,GDANSK PRZYJAZN,380,1660,1510,1360,1510,,,1424.5283018867924,1360,1660,1.392,17.568,230.8375,59.4,,54.7187833,18.1094152,86494356.0,54.2816724,18.3815079,385118244.0
ZGIERZ-ADAMOW,19T110000006686V,PSE,ZGIERZ,ADAMOW,220,828,785,741,785,,,740.566037735849,654,915,6.3114,33.27,208.5537,78.3,,51.830816,19.3834761,101982559.0,52.012199,18.5418181,171383831.0
ZUKOWICE-LESNIOW,19T000000006411L,PSE,ZUKOWICE,LESNIOW,220,830,755,680,755,,,712.2641509433962,475,980,3.722,27.54,179.1942,66.2,,51.6623513,16.0060202,180535363.0,51.9883633,15.2930359,158232924.0
ZYDOWO KIERZKOWO-GDANSK,19T000000006402M,PSE,ZYDOWO KIERZKOWO,GDANSK,220,705,642.5,580,642.5,,,606.132075471698,405,720,4.5883,39.78,455.8264,127.7,,54.041394,16.7307257,534238983.0,54.3386795,18.7096323,112614319.0
ZYDOWO KIERZKOWO-SLUPSK,19T110000006434L,PSE,ZYDOWO KIERZKOWO,SLUPSK,380,1500,1500,1500,1500,,,1415.0943396226414,1500,1500,1.424,16.928,245.5625,60.8,,54.041394,16.7307257,534238983.0,,,
ZYDOWO KIERZKOWO-SLUPSK,19T110000006435J,PSE,ZYDOWO KIERZKOWO,SLUPSK,380,1500,1500,1500,1500,,,1415.0943396226414,1500,1500,1.424,16.896,254.4187,60.8,,54.041394,16.7307257,534238983.0,,,
DUNOWO-ZYDOWO KIERZKOWO,19T1100000068078,PSE,DUNOWO,ZYDOWO KIERZKOWO,220,960,945,890,960,,,905.6603773584906,890,960,6.31,33.27,208.56,78.3,,54.1265422,16.0960123,175406958.0,54.041394,16.7307257,534238983.0
PILA KRZEWINA-ZYDOWO KIERZKOWO,19T1100000068086,PSE,PILA KRZEWINA,ZYDOWO KIERZKOWO,220,705,643,580,643,,,606.6037735849056,643,705,7.53,49.12,306.18,115.3,,,,,54.041394,16.7307257,534238983.0
KROMOLICE-OSTROW c.2,19T110000006812F,PSE,KROMOLICE,OSTROW,380,2250,2250,2250,2250,,,2122.6415094339623,2250,2250,2.69,33.43,435.12,112.5,,52.2811519,17.1689974,254938713.0,54.3746551,18.6505475,60142956.0
KRAJNIK-PLEWISKA c.2,19T110000006813D,PSE,KRAJNIK,PLEWISKA,380,2250,2250,2180,2250,,,2122.6415094339623,2180,2250,4.56,61.36,825.64,209.9,,53.196395,14.4757377,39428977.0,52.368644,16.7790705,32036484.0
LUBLIN SYSTEMOWA-CHELM,19T110000006829Z,PSE,LUBLIN SYSTEMOWA,CHELM,380,2000,2000,2000,2000,,,1886.7924528301885,2000,2000,1.754,21.076,251.52,68,,51.2981035,22.6162183,148060965.0,51.7160113,0.5185068,100820853.0
OSTROLEKA-STANISLAWOW,19T1100000068159,PSE,Ostroleka,Stanislawow,380,2250,2250,2250,2250,,,2122.6415094339623,2250,2250,2.15,30.3,411.12,104.1,,,,,,,
LIT 225kV N0 1 AIRVAULT-BONNEAU,17T000000015268T,RTE,AIRVAULT,BONNEAU,220,932,932,1145,1145,,,1080.1886792452829,,,3.064,20.35,239.62,52.792,,46.8239334,-0.1251141,110522458.0,46.5985563,0.3939044,115476080.0
LIT 225kV N0 1 AIRVAULT-JUMEAUX (LES),17T000000015269R,RTE,AIRVAULT,JUMEAUX (LES),220,1249,1337,1337,1434,,,1352.830188679245,,,0.33,2.212,15.866,5.507,,46.8239334,-0.1251141,110522458.0,,,
LIT 400kV N0 1 ALBERTVILLE - COCHE (LA),17T-FR-00000044Z,RTE,ALBERTVILLE,COCHE (LA),380,2585,2633,2633,2715,,,2561.320754716981,,,0.694,9.818,63.864,22.583,,45.6618902,6.4181727,56998024.0,,,
LIT 400kV N0 1 ALBERTVILLE - GRANDE-ILE,17T-FR-00000057Q,RTE,ALBERTVILLE,GRANDE-ILE,380,3099,3441,3441,3741,,,3529.2452830188677,,,0.739,11.29,169.156,40.744,,45.6618902,6.4181727,56998024.0,45.4706629,6.0282044,84182609.0
LIT 400kV N0 1 ALBERTVILLE-MONTAGNY-LES-LANCHES,17T-FR-00000047T,RTE,ALBERTVILLE,MONTAGNY-LES-LANCHES,380,2170,2318,2318,2498,,,2356.6037735849054,,,1.265,12.616,139.45,37.517,,45.6618902,6.4181727,56998024.0,,,
LIT 400kV N0 2 ALBERTVILLE - GRANDE-ILE,17T-FR-00000058O,RTE,ALBERTVILLE,GRANDE-ILE,380,3099,3441,3441,3741,,,3529.2452830188677,,,0.74,11.298,169.282,40.775,,45.6618902,6.4181727,56998024.0,45.4706629,6.0282044,84182609.0
LIT 400kV N0 3 ALBERTVILLE - GRANDE-ILE,17T-FR-00000064T,RTE,ALBERTVILLE,GRANDE-ILE,380,1926,2112,2112,2178,,,2054.7169811320755,,,1.665,18.949,127.516,44.337,,45.6618902,6.4181727,56998024.0,45.4706629,6.0282044,84182609.0
LIT 225kV N0 1 ALBERTVILLE-CHAVANOD,17T-FR-00000048R,RTE,ALBERTVILLE,CHAVANOD,220,617,685,685,742,,,700,,,4.46,17.21,120,42.135,,45.6618902,6.4181727,56998024.0,45.8943224,6.0811781,183182430.0
LIT 225kV N0 1 ALBERTVILLE-CONTAMINE,17T000000015311H,RTE,ALBERTVILLE,CONTAMINE,220,565,673,673,765,,,721.6981132075472,,,2.352,10.043,70.716,24.925,,45.6618902,6.4181727,56998024.0,46.3555705,6.4181095,69003834.0
LIT 225kV N0 1 ALBERTVILLE-LONGEFAN,17T000000015312F,RTE,ALBERTVILLE,LONGEFAN,220,565,673,673,765,,,721.6981132075472,,,4.486,17.749,122.892,43.669,,45.6618902,6.4181727,56998024.0,45.2841655,6.3581209,47633664.0
LIT 225kV N0 1 ALBERTVILLE-MALGOVERT,17T000000015313D,RTE,ALBERTVILLE,MALGOVERT,220,565,673,673,765,,,721.6981132075472,,,3.54,16.64,110,40.633,,45.6618902,6.4181727,56998024.0,45.6193286,6.7893391,98415440.0
LIT 225kV N0 1 ALBERTVILLE-VENTHON-POSTE,17T0000000153159,RTE,ALBERTVILLE,VENTHON-POSTE,220,231,468,468,611,,,576.4150943396226,,,0.39,1.58,10,3.79,,45.6618902,6.4181727,56998024.0,,,
LIT 225kV N0 1 ALLINGES-CORNIER,17T000000015397I,RTE,ALLINGES,CORNIER,220,966,1076,1076,1168,,,1101.8867924528302,,,2.42,14.488,107.984,36.996,,46.334317,6.4614629,69097591.0,46.0848053,6.2951248,100500802.0
LIT 225kV N0 2 ALLINGES-CORNIER,17T000000015398G,RTE,ALLINGES,CORNIER,220,966,1076,1076,1168,,,1101.8867924528302,,,2.42,14.474,108.052,36.992,,46.334317,6.4614629,69097591.0,46.0848053,6.2951248,100500802.0
LIT 225kV N0 1 ANOULD-ETIVAL,17T0000000157103,RTE,ANOULD,ETIVAL,220,1070,1155,1155,1265,,,1193.3962264150944,,,2.888,19.202,136.054,47.62,,48.1847939,6.9604147,121116528.0,48.3788306,6.8717619,121071312.0
LIT 225kV N0 1 AOSTE-BISSY,17T000000015750S,RTE,AOSTE,BISSY,220,236,470,470,612,,,577.3584905660377,,,2.398,10.316,66.82,24.49,,45.5838794,5.6113447,118127416.0,45.5902758,5.9006445,56585982.0
LIT 225kV N0 1 AQUEDUCS (LES)-CIROLLIERS,17T0000000157859,RTE,AQUEDUCS (LES),CIROLLIERS,220,827,1015,1015,1150,,,1084.9056603773583,,,0.549,3.644,26.52,9.163,,,,,48.5514371,2.3201956,24849819.0
LIT 225kV N0 2 AQUEDUCS (LES)-CIROLLIERS,17T0000000157875,RTE,AQUEDUCS (LES),CIROLLIERS,220,1172,1285,1285,1388,,,1309.433962264151,,,0.551,3.674,26.512,9.206,,,,,48.5514371,2.3201956,24849819.0
LIT 225kV N0 3 AQUEDUCS (LES) - CIROLLIERS,17T0000000157883,RTE,AQUEDUCS (LES),CIROLLIERS,220,1172,1285,1285,1388,,,1309.433962264151,,,0.552,3.677,26.592,9.219,,,,,48.5514371,2.3201956,24849819.0
LIT 225kV N0 1 ARDOISE (L )-MOTTE (LA) (VILLENEUVE-LES-AVIGNON,17T000000015865B,RTE,ARDOISE (L ),MOTTE (LA) (VILLENEUVE-LES-AVIGNON),220,1025,1025,1200,1200,,,1132.0754716981132,,,0.933,5.916,150.93,15.768,,,,,,,
LIT 225kV N0 1 ARDOISE (L )-TAVEL,17T0000000158677,RTE,ARDOISE (L ),TAVEL,220,1233,1320,1320,1389,,,1310.377358490566,,,0.649,4.346,31.182,10.819,,,,,44.0149575,4.6427746,110086345.0
LIT 225kV N0 2 ARDOISE (L )-TAVEL,17T0000000158685,RTE,ARDOISE (L ),TAVEL,220,1233,1320,1320,1389,,,1310.377358490566,,,0.649,4.346,31.182,10.815,,,,,44.0149575,4.6427746,110086345.0
LIT 225kV N0 3 ARDOISE (L ) - TAVEL,17T0000000158693,RTE,ARDOISE (L ),TAVEL,220,1233,1320,1320,1389,,,1310.377358490566,,,0.648,4.319,31.088,10.612,,,,,44.0149575,4.6427746,110086345.0
LIT 225kV N0 1 ARENC-BELLE-DE-MAI,17T000000015873C,RTE,ARENC,BELLE-DE-MAI,220,510,510,640,640,,,603.7735849056603,,,0.251,0.483,140.516,2.88,,45.6409741,5.2618108,142971127.0,43.3104665,5.3884504,733773994.0
LIT 400kV N0 1 ARGIA (BAYONNE SUD) - CANTEGRIT,17T-FR-00000037W,RTE,ARGIA (BAYONNE SUD),CANTEGRIT,380,2200,2300,2300,2400,,,2264.1509433962265,,,2.608,29.184,280.504,83.807,,,,,44.0132434,-0.8871863,111458307.0
LIT 225kV N0 2 ARGIA (BAYONNE SUD)-MOUGUERRE,17T-FR-00000062X,RTE,ARGIA (BAYONNE SUD),MOUGUERRE,220,635,635,870,870,,,820.754716981132,,,0.382,2.65,179.556,7.966,,,,,,,
LIT 225kV N0 1 ARGIESANS-ETUPES,17T000000015942J,RTE,ARGIESANS,ETUPES,220,654,758,758,857,,,808.4905660377358,,,0.867,4.44,31.282,11.145,,47.601803,6.8139909,123120808.0,47.5073915,6.8479447,89158123.0
LIT 225kV N0 1 ARGIESANS-SIERENTZ,17T000000015943H,RTE,ARGIESANS,SIERENTZ,220,654,758,758,857,,,808.4905660377358,,,4.645,21.857,151.878,54.5,,47.601803,6.8139909,123120808.0,47.64668,7.4722122,49049745.0
LIT 400kV N0 1 ARGOEUVES - CHEVALET,17T000000015954C,RTE,ARGOEUVES,CHEVALET,380,3465,3622,3622,3780,,,3566.0377358490564,,,0.842,11.054,183.034,41.972,,,,,,,
LIT 400kV N0 1 ARGOEUVES - FRUGES,17T000000015955A,RTE,ARGOEUVES,FRUGES,380,3465,3622,3622,3780,,,3566.0377358490564,,,1.307,17.156,284.082,65.137,,,,,45.246726,4.236532,236486195.0
LIT 400kV N0 1 ARGOEUVES - LIMEUX,17T0000000159568,RTE,ARGOEUVES,LIMEUX,380,3465,3622,3622,3780,,,3566.0377358490564,,,0.492,8.333,145.64,33.285,,,,,50.0111069,1.8283986,580568888.0
LIT 400kV N0 1 ARGOEUVES - MANDARINS,17T0000000159576,RTE,ARGOEUVES,MANDARINS,380,3465,3622,3622,3780,,,3566.0377358490564,,,2.377,31.238,517.966,118.964,,,,,50.902242,1.7840403,1271288345.0
LIT 400kV N0 1 ARGOEUVES - PENLY (POSTE EVACUATION),17T0000000159592,RTE,ARGOEUVES,PENLY (POSTE EVACUATION),380,3465,3622,3622,3780,,,3566.0377358490564,,,1.213,20.654,360.332,80.72,,,,,,,
LIT 400kV N0 1 ARGOEUVES - TERRIER,17T000000015960H,RTE,ARGOEUVES,TERRIER,380,3465,3622,3622,3780,,,3566.0377358490564,,,1.684,22.111,366.272,83.97,,,,,49.2178026,2.2591596,85047359.0
LIT 400kV N0 2 ARGOEUVES - CHEVALET,17T000000015961F,RTE,ARGOEUVES,CHEVALET,380,3465,3622,3622,3780,,,3566.0377358490564,,,0.833,10.936,181.15,42.23,,,,,,,
LIT 400kV N0 2 ARGOEUVES - TERRIER,17T0000000159827,RTE,ARGOEUVES,TERRIER,380,3465,3622,3622,3780,,,3566.0377358490564,,,1.686,22.134,366.4,84.037,,,,,49.2178026,2.2591596,85047359.0
LIT 400kV N0 3 ARGOEUVES - TERRIER,17T0000000159835,RTE,ARGOEUVES,TERRIER,380,1514,1794,1794,2100,,,1981.132075471698,,,2.634,25.809,298.776,81.806,,,,,49.2178026,2.2591596,85047359.0
LIT 225kV N0 1 ARGOEUVES - BRAILLY-CORNEHOTTE,17T000000015951I,RTE,ARGOEUVES,BRAILLY-CORNEHOTTE,220,894,944,944,1017,,,959.4339622641509,,,3.497,15.821,109.104,38.875,,,,,50.236335,1.9678378,219639224.0
LIT 225kV N0 1 ARGOEUVES-BEAUCHAMPS,17T000000015953E,RTE,ARGOEUVES,BEAUCHAMPS,220,753,925,925,1075,,,1014.1509433962264,,,3.214,21.636,155.084,54.086,,,,,50.0067184,1.524806,148059532.0
LIT 225kV N0 1 ARGOEUVES-BLOCAUX,17T000000015952G,RTE,ARGOEUVES,BLOCAUX,220,1250,1250,1250,1250,,,1179.245283018868,,,2.47,16.435,118.874,41.056,,,,,49.7720085,1.7833761,167268705.0
LIT 225kV N0 1 ARLOD-GENISSIAT-POSTE,17T000000016024F,RTE,ARLOD,GENISSIAT-POSTE,220,557,557,653,653,,,616.0377358490566,,,0.34,1.76,72,5.279,,46.0973317,5.81778,118112539.0,,,
LIT 225kV N0 1 ARNAGE-QUINTES (LES),17T0000000160708,RTE,ARNAGE,QUINTES (LES),220,1249,1316,1316,1389,,,1310.377358490566,,,0.336,2.231,16.236,5.605,,47.9215608,0.1838047,28525395.0,,,
LIT 225kV N0 2 ARNAGE-QUINTES (LES),17T0000000160716,RTE,ARNAGE,QUINTES (LES),220,1032,1124,1124,1212,,,1143.3962264150944,,,0.328,2.216,16.414,5.558,,47.9215608,0.1838047,28525395.0,,,
LIT 225KV N0 1 ARRIGHI - CHEVILLY,17T0000000161615,RTE,ARRIGHI,CHEVILLY,220,888,910,972,1049,,,989.622641509434,,,0.962,5.29,168.574,14.029,,48.7858282,2.4145001,46172440.0,48.7739107,2.3652655,44448089.0
LIT 225kV N0 1 ARRIGHI-CHARENTON,17T0000000161607,RTE,ARRIGHI,CHARENTON,220,220,220,340,340,,,320.75471698113205,,,0.137,0.47,408.442,4.511,,48.7858282,2.4145001,46172440.0,48.8208979,2.4066458,133667044.0
LIT 225kV N0 1 ARRIGHI-MORBRAS,17T000000016185S,RTE,ARRIGHI,MORBRAS,220,2008,2008,2300,2400,,,2264.1509433962265,,,0.67,6.3,133.74,22.138,,48.7858282,2.4145001,46172440.0,48.778795,2.6484339,27266058.0
LIT 225kV N0 1 ARRIGHI-VILLENEUVE-ST-GEORGES,17T000000016187O,RTE,ARRIGHI,VILLENEUVE-ST-GEORGES,220,750,750,830,830,,,783.0188679245283,,,0.42,2.62,40.62,6.719,,48.7858282,2.4145001,46172440.0,,,
LIT 225kV N0 2 ARRIGHI-CHARENTON,17T000000016191X,RTE,ARRIGHI,CHARENTON,220,220,220,340,340,,,320.75471698113205,,,0.139,0.473,411.802,4.473,,48.7858282,2.4145001,46172440.0,48.8208979,2.4066458,133667044.0
LIT 225kV N0 2 ARRIGHI-MORBRAS,17T000000016192V,RTE,ARRIGHI,MORBRAS,220,1980,2008,2250,2420,,,2283.018867924528,,,0.665,6.133,133.126,22.198,,48.7858282,2.4145001,46172440.0,48.778795,2.6484339,27266058.0
LIT 400kV N0 2 ATTAQUES (LES) - MANDARINS,17T0000000163049,RTE,ATTAQUES (LES),MANDARINS,380,3465,3622,3622,3780,,,3566.0377358490564,,,0.21,2.76,45.736,10.484,,,,,50.902242,1.7840403,1271288345.0
LIT 400kV N0 2 ATTAQUES (LES) - WARANDE,17T0000000163057,RTE,ATTAQUES (LES),WARANDE,380,3465,3622,3622,3780,,,3566.0377358490564,,,0.365,4.799,79.504,18.296,,,,,50.9491216,2.1604168,85203486.0
LIT 225kV N0 1 ATTAQUES (LES)-ECHINGHEN,17T000000016281W,RTE,ATTAQUES (LES),ECHINGHEN,220,1002,1078,1078,1130,,,1066.0377358490566,,,2.375,14.294,102.35,36.192,,,,,50.6967087,1.6397066,147580965.0
LIT 225kV N0 1 ATTAQUES (LES)-MANDARINS,17T000000016302D,RTE,ATTAQUES (LES),MANDARINS,220,1308,1408,1408,1478,,,1394.3396226415093,,,0.607,4.047,29.266,10.125,,,,,50.902242,1.7840403,1271288345.0
LIT 225kV N0 1 AUBE-COMMERVEIL,17T000000016320B,RTE,AUBE,COMMERVEIL,220,938,987,987,1041,,,982.0754716981131,,,4.993,22.672,152.262,54.801,,49.9518027,8.3094726,24686700.0,48.3167304,0.3760073,146449311.0
LIT 225kV N0 1 AUBE-MEZEROLLES,17T0000000163219,RTE,AUBE,MEZEROLLES,220,731,835,835,930,,,877.3584905660377,,,8.662,39.653,274.442,97.448,,49.9518027,8.3094726,24686700.0,48.9330211,1.7414515,89034196.0
LIT 225kV N0 1 AUBUSSON-EGUZON,17T000000016387G,RTE,AUBUSSON,EGUZON,220,894,991,991,1051,,,991.5094339622641,,,6.57,30.04,198,73.228,,45.9537227,2.1891907,137474877.0,46.4580821,1.6206602,105783300.0
LIT 225kV N0 1 AUBUSSON-MOLE (LA),17T000000016388E,RTE,AUBUSSON,MOLE (LA),220,286,531,531,674,,,635.8490566037735,,,6.061,28.674,186.626,68.298,,45.9537227,2.1891907,137474877.0,,,
LIT 225kV N0 1 AULNOYE-PONT-SUR-SAMBRE,17T000000016428S,RTE,AULNOYE,PONT-SUR-SAMBRE,220,975,1030,1030,1110,,,1047.1698113207547,,,0.534,2.448,16.338,5.897,,50.1991452,3.8162349,757237014.0,50.2293739,3.8638714,147580984.0
LIT 225kV N0 1 AUSSOIS-PRAZ-ST-ANDRE,17T000000016508U,RTE,AUSSOIS,PRAZ-ST-ANDRE,220,737,820,820,889,,,838.6792452830189,,,1.07,4.33,30,10.429,,45.2147533,6.7122236,146449309.0,,,
LIT 225kV N0 1 AUZAT-TARASCON,17T000000016551T,RTE,AUZAT,TARASCON,220,737,820,820,889,,,838.6792452830189,,,1.64,6.387,44.49,15.767,,,,,43.8060077,4.6666283,107871246.0
LIT 225kV N0 1 AVALLON - JOUX-LA-VILLE,17T000000016555L,RTE,AVALLON,JOUX-LA-VILLE,220,827,891,891,976,,,920.754716981132,,,1.543,7.83,53.35,19.039,,47.4966126,3.9196132,1056316394.0,47.6436227,3.8824241,471603406.0
LIT 400kV N0 1 AVELIN - GAVRELLE,17T-FR-00000002E,RTE,AVELIN,GAVRELLE,380,2238,2412,2412,2622,,,2473.5849056603774,,,0.448,7.862,"136,202‬",30.591,,50.5249279,3.0822933,85605950.0,50.3372696,2.8852248,117893799.0
LIT 400kV N0 2 AVELIN - GAVRELLE,17T000000016584E,RTE,AVELIN,GAVRELLE,380,2238,2412,2412,2622,,,2473.5849056603774,,,0.448,7.862,"136,202‬",30.591,,50.5249279,3.0822933,85605950.0,50.3372696,2.8852248,117893799.0
LIT 400kV N0 1 AVELIN - MASTAING,17T-FR-00000055U,RTE,AVELIN,MASTAING,380,2570,2718,2718,2912,,,2747.1698113207544,,,0.91,10.249,111.272,31.358,,50.5249279,3.0822933,85605950.0,50.2963595,3.2907762,82967739.0
LIT 400kV N0 1 AVELIN - WEPPES,17T-FR-00000004A,RTE,AVELIN,WEPPES,380,3078,3266,3266,3458,,,3262.264150943396,,,0.532,6.714,120.67,21.668,,50.5249279,3.0822933,85605950.0,50.6443096,2.8950246,85605959.0
LIT 400kV N0 2 AVELIN - WARANDE,17T-FR-00000003C,RTE,AVELIN,WARANDE,380,3078,3266,3266,3458,,,3262.264150943396,,,2.172,27.866,316.88,86.764,,50.5249279,3.0822933,85605950.0,50.9491216,2.1604168,85203486.0
LIT 400kV N0 2 AVELIN-MASTAING,17T-FR-000000058,RTE,AVELIN,MASTAING,380,3465,3622,3622,3780,,,3566.0377358490564,,,0.681,8.954,148.672,34.067,,50.5249279,3.0822933,85605950.0,50.2963595,3.2907762,82967739.0
LIT 225kV N0 1 AVELIN - MASTAING,17T-FR-00000001G,RTE,AVELIN,MASTAING,220,1273,1346,1346,1453,,,1370.754716981132,,,0.938,10.277,110.114,31.508,,50.5249279,3.0822933,85605950.0,50.2963595,3.2907762,82967739.0
LIT 225kV N0 1 AVELIN-COURRIERES,17T000000016558F,RTE,AVELIN,COURRIERES,220,1273,1346,1346,1451,,,1368.8679245283017,,,1.086,7.461,54.868,18.895,,50.5249279,3.0822933,85605950.0,,,
LIT 225kV N0 1 AVIGNON (POSTE)-CHATEAURENARD,17T000000016626O,RTE,AVIGNON (POSTE),CHATEAURENARD,220,1198,1281,1281,1348,,,1271.698113207547,,,0.663,4.41,30.75,10.858,,,,,43.86425,4.8568643,135282004.0
LIT 225kV N0 1 AVIGNON (POSTE)-MOTTE (LA) (VILLENEUVE-LES-AVIG,17T000000016627M,RTE,AVIGNON (POSTE),MOTTE (LA) (VILLENEUVE-LES-AVIGNON),220,1233,1320,1320,1389,,,1310.377358490566,,,0.355,2.363,17.082,5.86,,,,,,,
LIT 225kV N0 1 AVOINE-AVOINE (POSTE 400 KV),17T000000016665E,RTE,AVOINE,AVOINE (POSTE 400 KV),220,1950,2025,2025,2100,,,1981.132075471698,,,0.042,0.275,92.742,1.66,,47.974813,0.2020884,65124147.0,,,
LIT 225kV N0 1 AVOINE-DISTRE,17T000000016667A,RTE,AVOINE,DISTRE,220,915,915,1075,1075,,,1014.1509433962264,,,1.294,8.775,158.758,23.105,,47.974813,0.2020884,65124147.0,47.2079194,-0.1144715,99722046.0
LIT 225kV N0 1 AVOINE-QUINTES (LES),17T0000000166688,RTE,AVOINE,QUINTES (LES),220,1100,1186,1186,1275,,,1202.830188679245,,,4.462,30.705,226.828,78.477,,47.974813,0.2020884,65124147.0,,,
LIT 400kV N0 1 AVOINE (POSTE 400 kV) - DISTRE,17T000000016632T,RTE,AVOINE (POSTE 400 KV),DISTRE,380,3196,3488,3488,3582,,,3379.2452830188677,,,0.511,6.623,81.722,21.655,,,,,47.2079194,-0.1144715,99722046.0
LIT 400kV N0 1 AVOINE (POSTE 400 kV) - GRILLE-AVOINE,17T000000016633R,RTE,AVOINE (POSTE 400 KV),GRILLE-AVOINE,380,1950,2025,2025,2100,,,1981.132075471698,,,0.009,0.149,1.094,0.375,,,,,,,
LIT 400kV N0 1 AVOINE (POSTE 400 kV) - LARCAY,17T000000016634P,RTE,AVOINE (POSTE 400 KV),LARCAY,380,3465,3622,3622,3780,,,3566.0377358490564,,,1.009,13.254,219.818,50.356,,,,,47.3519462,0.7675273,44883864.0
LIT 400kV N0 2 AVOINE (POSTE 400 kV) - DISTRE,17T000000016635N,RTE,AVOINE (POSTE 400 KV),DISTRE,380,3196,3488,3488,3582,,,3379.2452830188677,,,0.511,6.624,81.742,21.629,,,,,47.2079194,-0.1144715,99722046.0
LIT 400kV N0 2 AVOINE (POSTE 400 kV) - GRILLE-AVOINE,17T000000016636L,RTE,AVOINE (POSTE 400 KV),GRILLE-AVOINE,380,1604,1604,1700,1700,,,1603.7735849056603,,,0.01,0.159,6.726,0.447,,,,,,,
LIT 400kV N0 2 AVOINE (POSTE 400 kV) - LARCAY,17T000000016637J,RTE,AVOINE (POSTE 400 KV),LARCAY,380,3465,3622,3622,3780,,,3566.0377358490564,,,1.008,13.253,219.792,50.36,,,,,47.3519462,0.7675273,44883864.0
