country,countryLabel,count
http://www.wikidata.org/entity/Q145,United Kingdom,11
http://www.wikidata.org/entity/Q142,France,6
http://www.wikidata.org/entity/Q183,Germany,4
http://www.wikidata.org/entity/Q34,Sweden,4
http://www.wikidata.org/entity/Q33,Finland,4
http://www.wikidata.org/entity/Q35,Denmark,3
http://www.wikidata.org/entity/Q20,Norway,3
http://www.wikidata.org/entity/Q191,Estonia,3
http://www.wikidata.org/entity/Q55,Netherlands,2
http://www.wikidata.org/entity/Q38,Italy,2
http://www.wikidata.org/entity/Q27,Ireland,2
http://www.wikidata.org/entity/Q408,Australia,2
http://www.wikidata.org/entity/Q1030,Namibia,1
http://www.wikidata.org/entity/Q37,Lithuania,1
http://www.wikidata.org/entity/Q31,Belgium,1
http://www.wikidata.org/entity/Q114,Kenya,1
http://www.wikidata.org/entity/Q115,Ethiopia,1
http://www.wikidata.org/entity/Q334,Singapore,1
