country,countryLabel,count
http://www.wikidata.org/entity/Q34266,Russian Empire,26
http://www.wikidata.org/entity/Q36,Poland,18
http://www.wikidata.org/entity/Q159,Russia,16
http://www.wikidata.org/entity/Q145,United Kingdom,12
http://www.wikidata.org/entity/Q183,Germany,11
http://www.wikidata.org/entity/Q30,United States,11
http://www.wikidata.org/entity/Q38,Italy,9
http://www.wikidata.org/entity/Q213,Czech Republic,8
http://www.wikidata.org/entity/Q31,Belgium,7
http://www.wikidata.org/entity/Q15180,Soviet Union,5
http://www.wikidata.org/entity/Q142,France,4
http://www.wikidata.org/entity/Q212,Ukraine,4
http://www.wikidata.org/entity/Q40,Austria,3
http://www.wikidata.org/entity/Q794,Iran,2
http://www.wikidata.org/entity/Q55,Netherlands,2
http://www.wikidata.org/entity/Q423,North Korea,2
http://www.wikidata.org/entity/Q928,Philippines,1
http://www.wikidata.org/entity/Q186096,Tsardom of Russia,1
http://www.wikidata.org/entity/Q148,People's Republic of China,1
http://www.wikidata.org/entity/Q1206012,German Reich,1
http://www.wikidata.org/entity/Q16957,German Democratic Republic,1
http://www.wikidata.org/entity/Q32,Luxembourg,1
http://www.wikidata.org/entity/Q241,Cuba,1
http://www.wikidata.org/entity/Q16,Canada,1
http://www.wikidata.org/entity/Q18097,Korea,1
http://www.wikidata.org/entity/Q188712,Empire of Japan,1
http://www.wikidata.org/entity/Q232,Kazakhstan,1
http://www.wikidata.org/entity/Q222,Albania,1
http://www.wikidata.org/entity/Q184,Belarus,1
http://www.wikidata.org/entity/Q227,Azerbaijan,1
http://www.wikidata.org/entity/Q131337,Azerbaijan Soviet Socialist Republic,1
http://www.wikidata.org/entity/Q28513,Austria-Hungary,1
http://www.wikidata.org/entity/Q29,Spain,1
http://www.wikidata.org/entity/Q33,Finland,1
