country,countryLabel,count
http://www.wikidata.org/entity/Q408,Australia,584
http://www.wikidata.org/entity/Q183,Germany,78
http://www.wikidata.org/entity/Q213,Czech Republic,41
http://www.wikidata.org/entity/Q55,Netherlands,35
http://www.wikidata.org/entity/Q214,Slovakia,35
http://www.wikidata.org/entity/Q145,United Kingdom,27
http://www.wikidata.org/entity/Q35,Denmark,24
http://www.wikidata.org/entity/Q30,United States,18
http://www.wikidata.org/entity/Q20,Norway,16
http://www.wikidata.org/entity/Q17,Japan,16
http://www.wikidata.org/entity/Q1036,Uganda,15
http://www.wikidata.org/entity/Q37,Lithuania,14
http://www.wikidata.org/entity/Q39,Switzerland,14
http://www.wikidata.org/entity/Q34,Sweden,12
http://www.wikidata.org/entity/Q142,France,12
http://www.wikidata.org/entity/Q148,People's Republic of China,11
http://www.wikidata.org/entity/Q928,Philippines,10
http://www.wikidata.org/entity/Q38,Italy,8
http://www.wikidata.org/entity/Q212,Ukraine,8
http://www.wikidata.org/entity/Q16,Canada,8
http://www.wikidata.org/entity/Q36,Poland,7
http://www.wikidata.org/entity/Q40,Austria,7
http://www.wikidata.org/entity/Q159,Russia,6
http://www.wikidata.org/entity/Q155,Brazil,6
http://www.wikidata.org/entity/Q114,Kenya,6
http://www.wikidata.org/entity/Q33,Finland,5
http://www.wikidata.org/entity/Q668,India,5
http://www.wikidata.org/entity/Q31,Belgium,5
http://www.wikidata.org/entity/Q41,Greece,4
http://www.wikidata.org/entity/Q29,Spain,4
http://www.wikidata.org/entity/Q211,Latvia,4
http://www.wikidata.org/entity/Q191,Estonia,3
http://www.wikidata.org/entity/Q184,Belarus,3
http://www.wikidata.org/entity/Q27,Ireland,3
http://www.wikidata.org/entity/Q924,Tanzania,3
http://www.wikidata.org/entity/Q664,New Zealand,2
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,2
http://www.wikidata.org/entity/Q1030,Namibia,2
http://www.wikidata.org/entity/Q884,South Korea,2
http://www.wikidata.org/entity/Q229,Cyprus,2
http://www.wikidata.org/entity/Q854,Sri Lanka,2
http://www.wikidata.org/entity/Q28,Hungary,2
http://www.wikidata.org/entity/Q79,Egypt,2
http://www.wikidata.org/entity/Q258,South Africa,1
http://www.wikidata.org/entity/Q1029,Mozambique,1
http://www.wikidata.org/entity/Q801,Israel,1
http://www.wikidata.org/entity/Q833,Malaysia,1
http://www.wikidata.org/entity/Q869,Thailand,1
http://www.wikidata.org/entity/Q843,Pakistan,1
http://www.wikidata.org/entity/Q1028,Morocco,1
http://www.wikidata.org/entity/Q233,Malta,1
http://www.wikidata.org/entity/Q115,Ethiopia,1
http://www.wikidata.org/entity/Q334,Singapore,1
http://www.wikidata.org/entity/Q232,Kazakhstan,1
http://www.wikidata.org/entity/Q218,Romania,1
http://www.wikidata.org/entity/Q219,Bulgaria,1
http://www.wikidata.org/entity/Q252,Indonesia,1
http://www.wikidata.org/entity/Q962,Benin,1
http://www.wikidata.org/entity/Q1033,Nigeria,1
http://www.wikidata.org/entity/Q881,Vietnam,1
http://www.wikidata.org/entity/Q837,Nepal,1
http://www.wikidata.org/entity/Q236,Montenegro,1
http://www.wikidata.org/entity/Q242,Belize,1
http://www.wikidata.org/entity/Q1037,Rwanda,1
http://www.wikidata.org/entity/Q810,Jordan,1
http://www.wikidata.org/entity/Q958,South Sudan,1
http://www.wikidata.org/entity/Q865,Taiwan,1
